onset	duration	trial_type	value
0.50735	0.00000	et-record-on	n/a
0.53235	3.03780	blank	n/a
3.57015	3.04770	vis	n/a
6.61785	0.50500	cog	(0.5, 0.6)
7.12285	0.51400	cog	(0.5, -0.6)
7.63685	0.50550	cog	(0.7, 0.0)
8.14235	0.49450	cog	(-0.5, 0.6)
8.63685	0.50010	cog	(-0.7, 0.0)
9.13695	0.53210	cog	(-0.5, -0.6)
9.66905	3.05030	blank	n/a
12.71935	0.50090	cog	(-0.7, 0.0)
13.22025	0.50020	cog	(-0.5, -0.6)
13.72045	0.49890	cog	(0.5, -0.6)
14.21935	0.50130	cog	(0.5, 0.6)
14.72065	0.49980	cog	(-0.5, 0.6)
15.22045	0.54470	cog	(0.7, 0.0)
15.76515	3.05140	vis	n/a
18.81655	3.05590	vis	n/a
21.87245	3.06550	blank	n/a
24.93795	3.04610	blank	n/a
27.98405	3.06180	vis	n/a
31.04585	5.01330	mot	R
36.05915	5.04890	mot	L
41.10805	5.01580	mot	L
46.12385	5.04970	mot	R
51.17355	5.01440	mot	R
56.18795	5.06270	mot	L
61.25065	3.07180	blank	n/a
64.32245	0.49910	cog	(-0.7, 0.0)
64.82155	0.50000	cog	(0.5, -0.6)
65.32155	0.50140	cog	(-0.5, -0.6)
65.82295	0.51540	cog	(0.7, 0.0)
66.33835	0.50000	cog	(-0.5, 0.6)
66.83835	0.56050	cog	(0.5, 0.6)
67.39885	0.50550	cog	(0.5, 0.6)
67.90435	0.50060	cog	(0.5, -0.6)
68.40495	0.50010	cog	(-0.7, 0.0)
68.90505	0.50000	cog	(0.7, 0.0)
69.40505	0.50000	cog	(-0.5, -0.6)
69.90505	0.56640	cog	(-0.5, 0.6)
70.47145	3.07210	blank	n/a
73.54355	5.01530	mot	R
78.55885	5.06810	mot	L
83.62695	3.07120	blank	n/a
86.69815	3.07720	blank	n/a
89.77535	3.07400	blank	n/a
92.84935	3.07700	vis	n/a
95.92635	0.51260	cog	(0.5, 0.6)
96.43895	0.50010	cog	(0.7, 0.0)
96.93905	0.50000	cog	(-0.5, -0.6)
97.43905	0.49980	cog	(-0.7, 0.0)
97.93885	0.50020	cog	(0.5, -0.6)
98.43905	0.57540	cog	(-0.5, 0.6)
99.01445	5.01180	mot	L
104.02625	5.09170	mot	R
109.11795	0.50460	cog	(-0.5, 0.6)
109.62255	0.50010	cog	(0.7, 0.0)
110.12265	0.50000	cog	(0.5, -0.6)
110.62265	0.51670	cog	(0.5, 0.6)
111.13935	0.50000	cog	(-0.5, -0.6)
111.63935	0.57510	cog	(-0.7, 0.0)
112.21445	3.09660	vis	n/a
115.31105	3.07260	blank	n/a
118.38365	0.50580	cog	(-0.5, 0.6)
118.88945	0.50010	cog	(0.7, 0.0)
119.38955	0.50010	cog	(0.5, 0.6)
119.88965	0.49990	cog	(-0.7, 0.0)
120.38955	0.50010	cog	(-0.5, -0.6)
120.88965	0.58520	cog	(0.5, -0.6)
121.47485	3.11020	vis	n/a
124.58505	5.00810	mot	L
129.59315	5.10180	mot	R
134.69495	5.01470	mot	R
139.70965	5.09330	mot	L
144.80295	3.08810	blank	n/a
147.89105	5.00340	mot	R
152.89445	5.15510	mot	L
158.55155	0.00000	et-record-off	n/a
