onset	duration	trial_type	value
10.51972	0.00000	et-record-on	n/a
10.53132	2.70010	green	mock
13.23142	2.30000	yellow	mock
15.53142	2.70010	green	mock
18.23152	2.29990	yellow	mock
20.53142	2.70000	green	mock
23.23142	2.30020	yellow	mock
25.53162	2.70000	green	mock
28.23162	2.30010	yellow	mock
30.53172	2.70010	light-green	mock
33.23182	2.30010	gold	mock
35.53192	13.00020	red	mock
48.53212	2.00000	lightred	mock
50.53212	5.00060	end-message	mock
55.53272	2.69960	in	block1
58.23232	2.29990	out	block1
60.53222	2.70020	in	block1
63.23242	2.29990	out	block1
65.53232	2.70030	in	block1
68.23262	2.29990	out	block1
70.53252	2.70020	in	block1
73.23272	2.30000	out	block1
75.53272	2.70010	in-last	block1
78.23282	2.30000	out-last	block1
80.53282	13.00030	hold	block1
93.53312	2.00010	hold-warning	block1
95.53322	9.99970	refractory	block1
105.53292	2.70050	in	block2
108.23342	2.30010	out	block2
110.53352	2.70000	in	block2
113.23352	2.30000	out	block2
115.53352	2.70010	in	block2
118.23362	2.30010	out	block2
120.53372	2.69980	in	block2
123.23352	2.30030	out	block2
125.53382	2.70010	in-last	block2
128.23392	2.30010	out-last	block2
130.53402	13.00020	hold	block2
143.53422	2.00010	hold-warning	block2
145.53432	10.00010	refractory	block2
155.53442	2.70010	in	block3
158.23452	2.30000	out	block3
160.53452	2.70010	in	block3
163.23462	2.30000	out	block3
165.53462	2.70020	in	block3
168.23482	2.30010	out	block3
170.53492	2.70000	in	block3
173.23492	2.30010	out	block3
175.53502	2.70010	in-last	block3
178.23512	2.29990	out-last	block3
180.53502	13.00020	hold	block3
193.53522	2.00020	hold-warning	block3
195.53542	10.00020	refractory	block3
205.53562	2.70010	in	block4
208.23572	2.30000	out	block4
210.53572	2.70010	in	block4
213.23582	2.29990	out	block4
215.53572	2.70010	in	block4
218.23582	2.30010	out	block4
220.53592	2.69990	in	block4
223.23582	2.30030	out	block4
225.53612	2.69970	in-last	block4
228.23582	2.30030	out-last	block4
230.53612	13.00030	hold	block4
243.51982	2.00000	hold-warning	block4
245.51982	10.00020	refractory	block4
255.52002	2.70010	in	block5
258.22012	2.30010	out	block5
260.52022	2.70000	in	block5
263.22022	2.30010	out	block5
265.52032	2.69990	in	block5
268.22022	2.30020	out	block5
270.52042	2.70010	in	block5
273.22052	2.29980	out	block5
275.52032	2.70020	in-last	block5
278.22052	2.30000	out-last	block5
280.52052	13.00040	hold	block5
293.52092	1.99990	hold-warning	block5
295.52082	10.00040	refractory	block5
331.02542	0.00000	et-record-off	n/a
